Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Logitech G304 Lightspeed Wireless Gaming Mouse - Putih,Goodgamingshop,Rp539.000,500+,5,https://www.tokopedia.com/goodgamingshop/logitech-g304-lightspeed-wireless-gaming-mouse-putih?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Build qualitynya solid, pas di tangan, tidak terlalu berat, tidak terlalu berisik, mantap || Barang ori cepat sampe,untuk mouse nya cocok sekali dipakai saya yang kodal || Pengemasan dan pengiriman cepat pengemasan aman bubble wrap tebel barang aman sampai di tujuan Barang juga bagus saat dicoba no problem semoga gada problem kedepannya MAN..."
1STPLAYER DK3.0 RGB - 6400DPI - Gaming Mouse,Goodgamingshop,Rp160.000,6,5,https://www.tokopedia.com/goodgamingshop/1stplayer-dk3-0-rgb-6400dpi-gaming-mouse?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Mantul abis || MANTAP BANGET ASLI. RECOMMENDED BANGET TOKO INI
Zowie S1 - Gaming Mouse - Hitam,Goodgamingshop,Rp1.244.000,4,5,https://www.tokopedia.com/goodgamingshop/zowie-s1-gaming-mouse-hitam?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,💯💯
Rexus Mouse Wireless Gaming Xierra 109,Goodgamingshop,Rp79.000,100+,4.9,https://www.tokopedia.com/goodgamingshop/rexus-mouse-wireless-gaming-xierra-109?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"barang sesuai, bagus, berfungsi dengan baik || Packing sudah terbuka seperti ini || Alhamdulillah dua bulan pemakaian masih nyaman"
Pulsar X2 V2 Wireless Gaming Mouse - Putih,Goodgamingshop,Rp1.599.000,40+,5,https://www.tokopedia.com/goodgamingshop/pulsar-x2-v2-wireless-gaming-mouse-putih-ec1f7?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Barangnya sangat bagus, sesuai ekspektasi, penjual juga responnya cepat dan sangat baik || switch nya lebih berisik dibanding xlite, trackingnya lumayan smooth, btw gak perlu Glass Skates cuma ngerusak mouspad doang keset malah iya, unboxingnya enggak berasa pr... || mouse nya ringan.. skate nya masih licin.. indah bgt dah buat nge game yg tembak2an.. nanti klo skate nya udh gk licin mau beli skate superglide.. btw thx udh diksh gantu..."
HYPERX PULSEFIRE FPS CORE GAMING MOUSE,Goodgamingshop,Rp320.000,9,5,https://www.tokopedia.com/goodgamingshop/hyperx-pulsefire-fps-core-gaming-mouse?extParam=src%3Dshop%26whid%3D15030227&aff_unique_id=&channel=others&chain_key=,noice.Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan.. Best value mouse. || Ukuran mouse pas ditangan.. Nyaman dan praktis tinggal plug and play.
Cooler Master Mouse CM310 - Gaming Mouse,Goodgamingshop,Rp349.000,3,5,https://www.tokopedia.com/goodgamingshop/cooler-master-mouse-cm310-gaming-mouse?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Best value mouse
Dareu EM908 Victor - Gaming Mouse - Hitam,Goodgamingshop,Rp265.000,7,5,https://www.tokopedia.com/goodgamingshop/dareu-em908-victor-gaming-mouse-hitam?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Barang bagus, bubblewarpnya tebel banget, adminnya ramah as always"
Zowie FK2B Black - Gaming Mouse,Goodgamingshop,Rp1.180.000,4,5,https://www.tokopedia.com/goodgamingshop/zowie-fk2b-black-gaming-mouse?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Steelseries Aerox 5 - Gaming Mouse - Garansi,Goodgamingshop,Rp1.379.000,14,5,https://www.tokopedia.com/goodgamingshop/steelseries-aerox-5-gaming-mouse-garansi-0034f?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"kulitas sesuai, warna sesuai, pengiriman cepat, barang sesuai dengan di foto, admin ramah || pengiriman dan respon cepat. produk jos"
Logitech G PRO X SUPERLIGHT 2 DEX LIGHTSPEED 60g Wireless Gaming Mouse - White,Goodgamingshop,Rp2.345.000,50+,5,https://www.tokopedia.com/goodgamingshop/logitech-g-pro-x-superlight-2-dex-lightspeed-60g-wireless-gaming-mouse-white-d2a5a?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"Packing segel tapi S/N produk dan kotak nya tidak sama. || fast respond, fast delivery process. barang segel ! || Pertahankan terus FAST RESPONSE nya ggs .. mantaabb 👍"
Razer Cobra Pro - RGB Wireless Gaming Mouse - Hitam,Goodgamingshop,Rp1.919.000,15,5,https://www.tokopedia.com/goodgamingshop/razer-cobra-pro-rgb-wireless-gaming-mouse-hitam-1b7e3?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Barangnya bagus dan berfungsi dengan baik. CO jam 11 siang pakai instant lalu sampai jam 5 sore belum dikirim (cutoff untuk pengiriman di hari yang sama adalah jam 3 sore... || barang ori, sesuai deskripsi. produk bagus sesuai harga || Mantap. Barang sampai dengan selamat dan bonus tumbler ane keychain. Makasih kak!"
Steelseries Aerox 9 Wireless - Gaming Mouse,Goodgamingshop,Rp2.329.000,22,5,https://www.tokopedia.com/goodgamingshop/steelseries-aerox-9-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Sempet baca review kurang bagus, saya bukan pengguna mouse mmo tp karena tidak banyak pilihan mouse mmo akhirnya saya coba yg ini, daily harian saya superlight x dan utk... || Produk sesuai, packing cukup, kiriman cepat. Aerox 9 berasa lebih besar dari G502. Scroll tilt gak bisa di rebind. Side buttons gak bisa dipake in Bluetooth mode. || Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan."
Razer Viper V3 Pro - White - Ultra-lightweight Symmetrical Esports Gaming Mouse,Goodgamingshop,Rp2.749.000,70+,5,https://www.tokopedia.com/goodgamingshop/razer-viper-v3-pro-white-ultra-lightweight-symmetrical-esports-gaming-mouse?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Mousenya bagus, bahan dan desainnya berkualitas, ringan juga saat dipakai. Pengirimannya cepat. Recommended buat yg nyari mouse upgrade || high end mouse 👍👍, cuman kalo pengiriman keluar kota/jauh tolong packing ny ditebelin (bubblewrap tebal ato additional kotak), kotak razerny sampe penyok tp untung mous... || best Mouse you can buy to date. ringan, build quality bagus, 8k polling rate ny emng kerasa bener smoothny apalgi ditambah monitor high refresh rate"
Dareu EM901 PRO - Gaming Mouse - Merah Muda,Goodgamingshop,Rp475.000,11,4.9,https://www.tokopedia.com/goodgamingshop/dareu-em901-pro-gaming-mouse-merah-muda?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Best value mouse Ukuran mouse pas ditangan. Nyaman dan praktis tinggal plug and play || Mantap mouse nya enak banget buat main valorant 👍🏻👍🏻👍🏻 || Ngga sama persis dengan versi aslinya. Barang yg dateng usb type c nya ngga ada magnet nya. Silahkan cek versi aslinya di youtube atau official website Dareu. Respon penj...
"Pulsar Xlite V3 Medium Wireless Gaming Mouse - Putih, Mouse Only",Goodgamingshop,Rp1.499.000,14,5,https://www.tokopedia.com/goodgamingshop/pulsar-xlite-v3-medium-wireless-gaming-mouse-1730896928189940903?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Mantab, upgrade nya yang jauh sekalian biar kerasa hehe || overall quality bagus, jadi nge fans bgt sama Pulsar, mousenya simple, enteng no rgb2 kleb, udah ngerasain Xlite 2 sekarang upgrade ke Xlite 3"
Razer Orochi V2 Quartz Edition - Gaming Mouse,Goodgamingshop,Rp624.000,8,5,https://www.tokopedia.com/goodgamingshop/razer-orochi-v2-quartz-edition-gaming-mouse?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best value mouse
Fantech UX3 - Gaming Mouse - Putih,Goodgamingshop,Rp199.000,100+,5,https://www.tokopedia.com/goodgamingshop/fantech-ux3-gaming-mouse-putih?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Beli disini jangan ragu. Cuma respon seller nya kurng cepat. Mungkin admin chat nya cuma 1 orang. Tapi terima kasih gan barang nya 🙏🏻 || Brg nya ori fantech. Respon seller nya agak lambat. Tp Gpp lah. Yg penting original 🙏🏻 || Packing nya bgs. Seller nya sibuk. Jd agak slow respon. Tp brg nya ori. Terima kasih gan. 🙏🏻
AKKO AG One 8K Series Hatsune Miku / My Melody / Lord of Mysteries Limited Series PAW3395 8K Hz polling rate Up to 26.000 - Gaming Mouse - My Melody,Goodgamingshop,Rp699.000,2,5,https://www.tokopedia.com/goodgamingshop/akko-ag-one-8k-series-hatsune-miku-my-melody-lord-of-mysteries-limited-series-paw3395-8k-hz-polling-rate-up-to-26-000-gaming-mouse-1731083591392855207?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,agak besar dan berat bandingin x2 pulsar tapi oke lah buat secondary
Razer DeathAdder V3 Pro - Ultra lightweight Wireless Mouse - Putih,Goodgamingshop,Rp1.974.000,100+,5,https://www.tokopedia.com/goodgamingshop/razer-deathadder-v3-pro-ultra-lightweight-wireless-mouse-putih?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"smooth banget, baru kali ini ngerasain mouse gamming yg enak. beli karena review dari goodgaming. || pengiriman cepat, akan tetapi box mousenya ada minus, isinya aman lengkap + diberi acc tambahan sama toko, barang berfungsi normal mantap. mudah-mudahan bisa awet || By far the best sensor, crisp clicks, overall a great mouse for medium to large hands using claw/palm grip. (Viper was too small for me)"
dbE MG200 Ergonomic Gaming Mouse,Goodgamingshop,Rp189.000,16,4.9,https://www.tokopedia.com/goodgamingshop/dbe-mg200-ergonomic-gaming-mouse?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"mantap, ngeflick aman, macro bisa dicustom dgn softwarenya, klik enak, sayangnya sniperkey ga bisa diatur dpi nya || barang ok, cuma telat pengiriman"
