Nama,Harga,Rating,Link,Komentar
Razer Barracuda X -White Wireless Multi-platform Gaming Headset (2022),Rp1.699.000,5,https://www.tokopedia.com/goodgamingshop/razer-barracuda-x-white-wireless-multi-platform-gaming-headset-2022?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Looksnya clean dan lightweight banget dipake berjam2 ga pegel, suara enak bisa calibrate di mac juga mantap || Suara cenderung ke bass, tapi bisa di tune supaya flat, overall bagus, koneksi lebgkap || Jujur aja ni headset gk sesuai yang ku harapkan karena micnya muffled dan settingny sulit abis karna gk masuk synapse nya razer. Tpi namanya wireless dan untuk levelnya m..."
Razer Kaira Hyperspeed Xbox Licensed Wireless Gaming Headset - Headset Gaming - Hitam,Rp2.229.000,-,https://www.tokopedia.com/goodgamingshop/razer-kaira-hyperspeed-xbox-licensed-wireless-gaming-headset-headset-gaming-1730891139675620519?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Gamen GH1000 Headset Gaming,Rp131.200,-,https://www.tokopedia.com/goodgamingshop/gamen-gh1000-headset-gaming?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
GAmen Sirens - BT Headset Low latency,Rp302.500,5,https://www.tokopedia.com/goodgamingshop/gamen-sirens-bt-headset-low-latency?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Nyaman dan praktis tinggal plug and play Sound mantap
Steelseries Arctis Nova 7 Wireless FaZe Clan Edition - Gaming Headset,Rp3.600.000,-,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-7-wireless-faze-clan-edition-gaming-headset?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
Gamen GH2100 - Headset gaming,Rp151.400,-,https://www.tokopedia.com/goodgamingshop/gamen-gh2100-headset-gaming?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Razer Kraken V3 Wired USB with Razer Chroma RGB - Gaming Headset,Rp1.765.000,5,https://www.tokopedia.com/goodgamingshop/razer-kraken-v3-wired-usb-with-razer-chroma-rgb-gaming-headset?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Razer Kraken Kitty V2 Wired RGB Kitty Ears Gaming Headset - Hitam,Rp1.999.000,5,https://www.tokopedia.com/goodgamingshop/razer-kraken-kitty-v2-wired-rgb-kitty-ears-gaming-headset-hitam-b5b3b?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Rexus Headset Daxa Sedna - Gaming Headset - Putih,Rp565.000,5,https://www.tokopedia.com/goodgamingshop/rexus-headset-daxa-sedna-gaming-headset-putih-22c13?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"memang headset ini joos bgt! harga dan kualitas yang sangat worth! body oke, fitur oke, puas bgt! pengiriman cepat, walaupun ada penyok di box nya tapi yang penting heads... || Headset nya bagus. bahan nya bagus. enak dipake lama2. ga bikin kuping cepet panas. kualitas suara juga lumayan. tapi lebih puas sama kualitas mikrofonnya. suara kita jad... || pro : ringan sound oke untuk ukuran nya earcup nya oke buat pemakaian lama con : tombol naikin dan turunin vol mesti diteken kenceng buat respond recomended ini..."
Rexus Headset Wireless S6 Pro - Cream,Rp649.000,5,https://www.tokopedia.com/goodgamingshop/rexus-headset-wireless-s6-pro-cream-e9a67?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Sound mantap Best value headset || sesuai dengan pesanan terimakasih
Steelseries Arctis Nova 5x For Xbox Series X / S - Wireless & Bluetooth Gaming Headset - Hitam,Rp2.128.000,5,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-5x-for-xbox-series-x-s-wireless-bluetooth-gaming-headset-hitam-324bc?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
Logitech G PRO X 2 LIGHTSPEED Headset Gaming Wireless Bluetooth -White,Rp3.118.000,5,https://www.tokopedia.com/goodgamingshop/logitech-g-pro-x-2-lightspeed-headset-gaming-wireless-bluetooth-white?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"Packingan rapi dan barang sampai dengan aman. Headset dicoba pas main OW dan Valo, suara jelas dan jernih banget. Mic juga jauh lebih bagus dan jelas dibanding headset br... || Sound mantap"
Sades Shaman Multiplatform - Gaming Headset,Rp280.000,-,https://www.tokopedia.com/goodgamingshop/sades-shaman-multiplatform-gaming-headset?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Steelseries Arctis Nova Pro Wireless White with GameDAC Gen 2 - Gaming Headset,Rp5.889.000,4.8,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-pro-wireless-white-with-gamedac-gen-2-gaming-headset?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,beli yang putih datangnya warna hitam || mantab
Fantech WHG02P / WHG-02P / WHG-02-P HARMONY PRO Virtual 7.1 Headset Gaming 3 Connections Wireless Bluetooth Wired,Rp799.000,5,https://www.tokopedia.com/goodgamingshop/fantech-whg02p-whg-02p-whg-02-p-harmony-pro-virtual-7-1-headset-gaming-3-connections-wireless-bluetooth-wired-1730794221076645031?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Fantech Earphone TYPE C EG3 Earbuds Premium Alluminium Alloy Magnetic - Putih,Rp99.000,5,https://www.tokopedia.com/goodgamingshop/fantech-earphone-type-c-eg3-earbuds-premium-alluminium-alloy-magnetic-putih-970f9?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Steelseries Arctis Nova Pro Wireless + GameDAC Gen 2 - Gaming Headset,Rp5.889.000,5,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-pro-wireless-gamedac-gen-2-gaming-headset?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"seller fast response, packing ok (include bubble wrap), barang ok (original, dan sound quality+ GameDAC gen 2 udh the best)..good job || Overall puas, ada mini computer dan build in mic yg bisa di hide, software sonar juga bikin kualitas suara bagus || Seller responsive dan helpful, kualitas barang baik. pengiriman cepat."
Rexus Headset Wireless S9 - Putih,Rp549.000,5,https://www.tokopedia.com/goodgamingshop/rexus-headset-wireless-s9-putih-2e6ce?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"barang nya oke,,, enak juga buat vokal sama bass nya,,, diharga yg dikasih cukup puas rasanya"
Razer BlackShark V2 HyperSpeed - Wireless Ultra-Light Gaming Headset - White,Rp1.899.000,5,https://www.tokopedia.com/goodgamingshop/razer-blackshark-v2-hyperspeed-wireless-ultra-light-gaming-headset-white-642ae?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Barang sudah sampai dan diterima dengan baik. Seller fast respon dan sangat membantu 🔥
Fantech Headphone Bluetooth Dual Mode Headset Wireless GO VIBE WH05 - Merah Muda,Rp599.000,5,https://www.tokopedia.com/goodgamingshop/fantech-headphone-bluetooth-dual-mode-headset-wireless-go-vibe-wh05-merah-muda-5bb85?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
MCHOSE G9 Pro / G-9 Pro 7.1 Surround Sound Wireless Gaming Headset - Headset Gaming - Hitam,Rp599.000,-,https://www.tokopedia.com/goodgamingshop/mchose-g9-pro-g-9-pro-7-1-surround-sound-wireless-gaming-headset-headset-gaming-1731068829045195943?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
