Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Tiger Arc Ice Hyperglide Mousefeet for Steelseries Aerox Prime Sensei - Aerox 3 Old,Chemicy Gaming,Rp95.000,11,5,https://www.tokopedia.com/chemicygaming/tiger-arc-ice-hyperglide-mousefeet-for-steelseries-aerox-prime-sensei-aerox-3-old?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,Mantappp Seller Fast Respon
Steelseries Prime Wireless Pro Series Gaming Mouse - Non Garansi,Chemicy Gaming,Rp775.000,18,5,https://www.tokopedia.com/chemicygaming/steelseries-prime-wireless-pro-series-gaming-mouse-non-garansi-daf2d?extParam=whid%3D70839%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"4 bulan pemakaian masih oke dan bagus, baterai bisa tahan 3-5 hari di pemakaian intens || Nyaman dan praktis tinggal plug and play Best value mouse Ukuran mouse pas ditangan. || 👌👌"
Steelseries Aerox 3 RGB Ultra-lightweight Gaming Mouse - Warranty,Chemicy Gaming,Rp1.149.000,50+,5,https://www.tokopedia.com/chemicygaming/steelseries-aerox-3-rgb-ultra-lightweight-gaming-mouse-warranty-6e593?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"mantap bngt, suka sm desain dan performanya..... || seller ramah banget,,pengiriman cepat,packing rapi,,sukses selalu ya ka || mantapp sihhh, 11 12 lah sama logitech yg ada diwarnet langganan.. claw grip sih paling enak buat tangan yg gede"
"Fantech HELIOS II XD3 V3 Wireless Mouse Gaming 1K 4K Tri Mode - XD3 V3 4K, Putih",Chemicy Gaming,Rp999.000,11,4.8,https://www.tokopedia.com/chemicygaming/fantech-helios-ii-xd3-v3-wireless-mouse-gaming-1k-4k-tri-mode-xd3-v3-4k-putih-17e4b?extParam=whid%3D70839%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"Produk bagus. Bahan plastik terasa kokoh. Sudah berfungsi dengan baik. Enak ternyata pakai wireless. Tombol click empuk, mirip razer viper v1, ukuran jg terasa pas sepert... || Mantap"
Endgame Gear XM2W 4k Lightweight Wireless Gaming Mouse - Putih,Chemicy Gaming,Rp1.899.000,5,5,https://www.tokopedia.com/chemicygaming/endgame-gear-xm2w-4k-lightweight-wireless-gaming-mouse-1730806217377547864?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"mouse grip sesuai dengan hand size, material mouse solid, poling rate 4k nya mantab, pelayanan toko juga fast response, top dah👍"
Tiger Arc Ice Hyperglide Mousefeet Logitech G Pro Superlight G304 G102 - GPX Superlight2,Chemicy Gaming,Rp95.000,250+,5,https://www.tokopedia.com/chemicygaming/tiger-arc-ice-hyperglide-mousefeet-logitech-g-pro-superlight-g304-g102-gpx-superlight2-faca4?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Barang sampai dengan baik, dan kualitas nya baik. Terima kasih || mantap jauh lebih enak dibanding feet bawaan mousenya.. cmn mesti d setting mouse travelnya lebih tinggi karna feet ini jauh lebih tebel overall puas 👌 || Jadi makin wus wus wus, flick kiri kanan 😂👍👍"
Razer Basilisk V3 Pro Wireless RGB Gaming Mouse,Chemicy Gaming,Rp2.669.000,4,5,https://www.tokopedia.com/chemicygaming/razer-basilisk-v3-pro-wireless-rgb-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,
Fantech Crypto WGC3 / WGC-3 Hybrid Wireless Gaming Mouse - Putih,Chemicy Gaming,Rp289.000,8,5,https://www.tokopedia.com/chemicygaming/fantech-crypto-wgc3-wgc-3-hybrid-wireless-gaming-mouse-putih-ba21f?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"kemarin mouse yg datang rusak, langsung proses pergantian barang gak pake lama mantap 🫰"
Rexus Shaga RX130 / RX-130 Wireless Gaming Mouse with Charging Dock - Putih,Chemicy Gaming,Rp379.000,60+,4.9,https://www.tokopedia.com/chemicygaming/rexus-shaga-rx130-rx-130-wireless-gaming-mouse-with-charging-dock-putih-e3d9e?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Barang ok mantap, tapi toggle bluetooth ke usbmya enggak bisa langsung colok ke laptop. bolongnya kecil || Mousenya sampai dengan packing yg rapih. Untuk bungkusnya, dia pakai box plastik. Kelengkapannya ada mouse,kabel usb to type c, charging docking, buku garansi & manua... || tidak ada kecacatan pada produk, sesuai ekspetasi pastinya🔥"
Noir M2 4K Wireless Lightweight Gaming Mouse - Glass Skate M2,Chemicy Gaming,Rp99.000,18,5,https://www.tokopedia.com/chemicygaming/noir-m2-4k-wireless-lightweight-gaming-mouse-glass-skate-m2-6378a?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Seperti biasa pelayanan fast respon dan paket sudah mendarat, mantap🔥 || Nice 👍 || mantab gan.."
