Nama,Harga,Rating,Link,Komentar
"Acer NITRO VG240YA 24"" 1080p 75Hz VGA HDMI 100x100mm - Gaming Monitor",Rp3.650.000,-,https://www.tokopedia.com/goodgamingshop/acer-nitro-vg240ya-24-1080p-75hz-vga-hdmi-100x100mm-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"Samsung 24"" T45F Business Monitor - LF24T450FQEXXD",Rp2.199.000,-,https://www.tokopedia.com/goodgamingshop/samsung-24-t45f-business-monitor-lf24t450fqexxd?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
ASUS VZ24EHE Eye Care 23.8 inch Full HD / IPS / 75Hz - Gaming Monitor,Rp2.090.000,-,https://www.tokopedia.com/goodgamingshop/asus-vz24ehe-eye-care-23-8-inch-full-hd-ips-75hz-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"Monitor LED Digital Alliance 24.5"" 200Hz IPS FHD 99% SRGB 1ms Adaptive Sync HDMI Vesa Mount DA25-RE200 DA25RE200 White - Hitam",Rp1.635.000,5,https://www.tokopedia.com/goodgamingshop/monitor-led-digital-alliance-24-5-200hz-ips-fhd-99-srgb-1ms-adaptive-sync-hdmi-vesa-mount-da25-re200-da25re200-white-hitam-c2957?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"Monitor 200Hz 25 inci ini cocok buat lo yang doyan gaming atau editing. Refresh rate tinggi bikin gerakan super smooth. Nggak ada ghosting atau tearing berkat adaptive sy... || Barang sampai dengan selamat, Seller fast respon juga, Untuk monitor real 200Hz sangat smoot dan realistis, warna tajam, overall bagus🥰🤗 || Puassssss barangnya bagus recomended bangetttt"
"Samsung ODYSSEY G65B 27"" LS27BG652EEXXD - Gaming Monitor",Rp7.999.000,-,https://www.tokopedia.com/goodgamingshop/samsung-odyssey-g65b-27-ls27bg652eexxd-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"ASUS VP248H-J Gaming Monitor – 24 inch, FHD, 1ms, 75Hz, AdaptiveSync",Rp2.510.000,5,https://www.tokopedia.com/goodgamingshop/asus-vp248h-j-gaming-monitor-24-inch-fhd-1ms-75hz-adaptivesync?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"mantap, seller ok banget, responsive || barang bagus.. || barang sudah sampai, dapat banus kaos, foto menyusul ya, terima kasih gan 👍👍"
"ASUS ROG Strix XG438Q HDR [2160p, 120Hz] - Gaming Monitor",Rp19.902.000,-,https://www.tokopedia.com/goodgamingshop/asus-rog-strix-xg438q-hdr-2160p-120hz-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
MSI Optix G273 1080p 165Hz - Gaming Monitor,Rp4.999.000,-,https://www.tokopedia.com/goodgamingshop/msi-optix-g273-1080p-165hz-gaming-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
AOC 24G4 23.8’’ FAST IPS 1MS 180HZ ADAPTIVE-SYNC FULL HD FLICKER FREE,Rp2.599.000,5,https://www.tokopedia.com/goodgamingshop/aoc-24g4-23-8-fast-ips-1ms-180hz-adaptive-sync-full-hd-flicker-free?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,keren banget pokonya || mantap barangnya
"AOC CQ27G3S Curved (27""/VA/1ms/165Hz/QHD/1000R) - Gaming Monitor",Rp4.999.000,-,https://www.tokopedia.com/goodgamingshop/aoc-cq27g3s-curved-27-va-1ms-165hz-qhd-1000r-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
