Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Fantech KANATA S WG9S Rechargeable Wireless Gaming Mouse - Red,Enter Komputer Official,Rp329.000,-,-,https://www.tokopedia.com/enterkomputer/fantech-kanata-s-wg9s-rechargeable-wireless-gaming-mouse-red-1731042798180927452?extParam=whid%3D53830%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
Fantech HELIOS II XD3 V3 Wireless Gaming Mouse,Enter Komputer Official,Rp549.000,-,-,https://www.tokopedia.com/enterkomputer/fantech-helios-ii-xd3-v3-wireless-gaming-mouse-1731042121395832796?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
SteelSeries Aerox 3 - Snow Edition - Wired Gaming Mouse,Enter Komputer Official,Rp1.150.000,6,5,https://www.tokopedia.com/enterkomputer/steelseries-aerox-3-snow-edition-wired-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,always remember
Fantech WGC5S Rechargeable Wireless Gaming Mouse,Enter Komputer Official,Rp329.000,-,-,https://www.tokopedia.com/enterkomputer/fantech-wgc5s-rechargeable-wireless-gaming-mouse-1731042323913607132?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
SteelSeries Aerox 3 Wireless Onyx - Gaming Mouse,Enter Komputer Official,Rp1.750.000,4,5,https://www.tokopedia.com/enterkomputer/steelseries-aerox-3-wireless-onyx-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Fantech ARIA XD7 Atomic Blue Wireless Gaming Mouse,Enter Komputer Official,Rp579.000,-,-,https://www.tokopedia.com/enterkomputer/fantech-aria-xd7-atomic-blue-wireless-gaming-mouse-1731040510591403996?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Fantech ARIA XD7 Atomic Purple Wireless Gaming Mouse,Enter Komputer Official,Rp579.000,-,-,https://www.tokopedia.com/enterkomputer/fantech-aria-xd7-atomic-purple-wireless-gaming-mouse-1731041192519501788?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Rexus Riva RX-120 Wireless Lightweight Gaming Mouse - Black,Enter Komputer Official,Rp339.000,-,-,https://www.tokopedia.com/enterkomputer/rexus-riva-rx-120-wireless-lightweight-gaming-mouse-black-1730956643409823708?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Pulsar X2 V3 Medium Wireless Gaming Mouse - Black,Enter Komputer Official,Rp1.609.000,-,-,https://www.tokopedia.com/enterkomputer/pulsar-x2-v3-medium-wireless-gaming-mouse-black-1730817162908960732?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Powerlogic Asic 7 RGB FX,Enter Komputer Official,Rp56.000,30+,4.9,https://www.tokopedia.com/enterkomputer/powerlogic-asic-7-rgb-fx?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"okee sesuai harga, tp ujung colokan usb seperti tidak baru || Lupa ngasih kriteria maunya yang item wkwkwk mousenya jalan dan bagus! lgs nyala! Rollannya juga enak. Meski putih tapi nyalanya bagus, terang 😌❤️ Makasih ya || Barang bagus dan mantap"
